# Simulated random data file for batch processing
# timestamp: 2021-05-20 01:35:46
# NJG
# ------------------------

"varX","varY"
0.835526676848531,0.0208535902202129
0.362913444405422,0.107876557158306
NA,0.759779392275959
0.94167795102112,0.907337664626539
0.399406251730397,0.0667960317805409
0.290810684673488,0.975264094071463
0.376827315427363,0.795547928893939
0.145041759125888,NA
0.743224956793711,0.890790856210515
0.572909704176709,0.603206935804337
0.27484918711707,0.846139742759988
0.285330506740138,0.544400937389582
0.78923105658032,0.979754346888512
0.559403408318758,0.791008453583345
0.804958461550996,0.14988038293086
0.479054088238627,0.853742553386837
0.821762162027881,0.856083752587438
0.367028633598238,0.305144342593849
0.887514056405053,0.795563433784992
0.0978149366565049,NA
0.985618782695383,0.628359246067703
0.189399311784655,0.608222428243607
0.922864322783425,0.154818288283423
0.802703423891217,0.723385538207367
0.793240603990853,NA
0.554604232078418,0.384157825727016
0.401360864052549,0.607920583803207
0.0925050799269229,0.729018192971125
0.681305135833099,0.0138941388577223
0.599015683401376,0.23305050493218
0.318279038649052,0.47951880004257
NA,NA
NA,0.684825166594237
NA,NA
0.836817816831172,0.474930817494169
0.055856398306787,0.573414391605183
NA,0.247440806590021
